시점,월별,시도별,사고건수,사망자수,부상자수
2008,6월,서울,3908,33,5478
2008,6월,부산,1068,18,1595
2008,6월,대구,1205,19,1731
2008,6월,인천,913,12,1371
2008,6월,광주,721,12,1186
2008,6월,대전,444,6,705
2008,6월,울산,436,9,661
2008,6월,경기,3525,67,5627
2008,6월,강원,697,12,1225
2008,6월,충북,693,30,1119
2008,6월,충남,757,44,1252
2008,6월,전북,834,34,1322
2008,6월,전남,855,40,1361
2008,6월,경북,1275,39,1979
2008,6월,경남,1264,45,1898
2008,6월,제주,229,3,362
2008,7월,서울,3957,40,5584
2008,7월,부산,1180,18,1738
2008,7월,대구,1202,13,1769
2008,7월,인천,1011,17,1552
2008,7월,광주,739,11,1221
2008,7월,대전,545,9,848
2008,7월,울산,457,12,739
2008,7월,경기,3579,94,5843
2008,7월,강원,846,32,1546
2008,7월,충북,704,23,1181
2008,7월,충남,785,38,1387
2008,7월,전북,855,26,1339
2008,7월,전남,864,30,1451
2008,7월,경북,1347,53,2135
2008,7월,경남,1221,30,1849
2008,7월,제주,270,6,371
2008,8월,서울,3680,45,5209
2008,8월,부산,1141,10,1723
2008,8월,대구,1128,21,1666
2008,8월,인천,871,18,1335
2008,8월,광주,694,11,1120
2008,8월,대전,484,13,746
2008,8월,울산,432,6,694
2008,8월,경기,3292,98,5543
2008,8월,강원,866,39,1724
2008,8월,충북,737,34,1217
2008,8월,충남,754,44,1299
2008,8월,전북,813,29,1433
2008,8월,전남,837,41,1523
2008,8월,경북,1324,70,2133
2008,8월,경남,1206,45,1919
2008,8월,제주,286,5,421
2008,9월,서울,3532,49,5046
2008,9월,부산,1066,22,1478
2008,9월,대구,1107,10,1621
2008,9월,인천,905,18,1370
2008,9월,광주,691,13,1128
2008,9월,대전,493,12,771
2008,9월,울산,430,6,638
2008,9월,경기,3191,98,5195
2008,9월,강원,774,30,1276
2008,9월,충북,706,20,1184
2008,9월,충남,785,52,1324
2008,9월,전북,803,34,1305
2008,9월,전남,881,35,1499
2008,9월,경북,1266,54,1938
2008,9월,경남,1142,42,1736
2008,9월,제주,251,7,385
2008,10월,서울,3686,35,5328
2008,10월,부산,1137,37,1561
2008,10월,대구,1270,20,1787
2008,10월,인천,984,15,1494
2008,10월,광주,746,20,1244
2008,10월,대전,538,9,886
2008,10월,울산,513,14,782
2008,10월,경기,3564,108,5714
2008,10월,강원,865,27,1467
2008,10월,충북,823,34,1365
2008,10월,충남,873,55,1513
2008,10월,전북,914,41,1452
2008,10월,전남,1010,52,1750
2008,10월,경북,1416,40,2152
2008,10월,경남,1287,56,1962
2008,10월,제주,300,11,425
2008,11월,서울,3686,44,5234
2008,11월,부산,1183,17,1736
2008,11월,대구,1219,18,1779
2008,11월,인천,914,11,1314
2008,11월,광주,777,11,1266
2008,11월,대전,499,6,772
2008,11월,울산,482,16,718
2008,11월,경기,3512,89,5765
2008,11월,강원,854,28,1404
2008,11월,충북,771,32,1346
2008,11월,충남,784,56,1348
2008,11월,전북,855,39,1442
2008,11월,전남,1036,32,1774
2008,11월,경북,1428,52,2247
2008,11월,경남,1310,62,2066
2008,11월,제주,287,15,374
2008,12월,서울,3658,42,5315
2008,12월,부산,1114,12,1593
2008,12월,대구,1134,22,1649
2008,12월,인천,886,13,1369
2008,12월,광주,729,10,1200
2008,12월,대전,443,10,744
2008,12월,울산,472,7,737
2008,12월,경기,3498,95,5680
2008,12월,강원,745,29,1209
2008,12월,충북,703,30,1149
2008,12월,충남,674,51,1135
2008,12월,전북,766,31,1355
2008,12월,전남,960,52,1749
2008,12월,경북,1289,53,1972
2008,12월,경남,1272,48,1774
2008,12월,제주,320,14,454
2009,전체,서울,44320,501,63584
2009,전체,부산,14082,251,20263
2009,전체,대구,14412,215,20858
