시점,월별,요일별,도로종류별,사고건수,사망자수,부상자수
2005,12월,일,일반국도,475,22,1005
2005,12월,일,지방도,155,5,272
2005,12월,일,특별광역시도,854,19,1463
2005,12월,일,시도,622,8,1083
2005,12월,일,군도,85,2,146
2005,12월,일,고속국도,66,15,218
2005,12월,일,기타/불명,118,4,193
2005,12월,월,일반국도,386,22,673
2005,12월,월,지방도,145,8,238
2005,12월,월,특별광역시도,838,18,1235
2005,12월,월,시도,617,5,960
2005,12월,월,군도,74,2,97
2005,12월,월,고속국도,33,2,67
2005,12월,월,기타/불명,161,2,210
2005,12월,화,일반국도,325,17,549
2005,12월,화,지방도,140,5,217
2005,12월,화,특별광역시도,947,11,1487
2005,12월,화,시도,619,10,900
2005,12월,화,군도,80,1,124
2005,12월,화,고속국도,38,4,71
2005,12월,화,기타/불명,113,0,196
2005,12월,수,일반국도,373,17,613
2005,12월,수,지방도,148,9,243
2005,12월,수,특별광역시도,870,11,1303
2005,12월,수,시도,658,16,990
2005,12월,수,군도,81,3,116
2005,12월,수,고속국도,44,5,90
2005,12월,수,기타/불명,126,1,193
2005,12월,목,일반국도,423,32,719
2005,12월,목,지방도,182,7,280
2005,12월,목,특별광역시도,1236,19,1824
2005,12월,목,시도,827,20,1254
2005,12월,목,군도,84,3,139
2005,12월,목,고속국도,45,7,107
2005,12월,목,기타/불명,167,1,243
2005,12월,금,일반국도,549,40,910
2005,12월,금,지방도,225,15,390
2005,12월,금,특별광역시도,1183,20,1794
2005,12월,금,시도,913,21,1408
2005,12월,금,군도,114,6,160
2005,12월,금,고속국도,49,6,132
2005,12월,금,기타/불명,183,0,265
2005,12월,토,일반국도,515,27,943
2005,12월,토,지방도,222,18,346
2005,12월,토,특별광역시도,1159,20,1882
2005,12월,토,시도,876,13,1391
2005,12월,토,군도,101,5,155
2005,12월,토,고속국도,69,4,172
2005,12월,토,기타/불명,191,2,284
2006,전체,일,일반국도,5110,267,10502
2006,전체,일,지방도,2216,104,3984
2006,전체,일,특별광역시도,10995,196,18394
2006,전체,일,시도,7444,154,12473
2006,전체,일,군도,1129,57,1829
2006,전체,일,고속국도,730,82,2265
2006,전체,일,기타/불명,803,16,1288
2006,전체,월,일반국도,4765,246,8232
2006,전체,월,지방도,2203,101,3544
2006,전체,월,특별광역시도,11641,193,17099
